fold,mae,rmse,dir_acc,best_model,n_models,n_test
1,18.33371139444742,23.676596157120922,90.97222222222221,WeightedEnsemble_L3,7,720
2,39.86741270788841,60.896393628023674,95.0,WeightedEnsemble_L3,7,720
3,20.291422729147804,30.339524942661257,92.36111111111111,WeightedEnsemble_L3,7,720
4,20.093125394172137,25.94166692283596,87.77777777777777,WeightedEnsemble_L3,7,720
5,14.37733341504209,19.88449150175011,90.83333333333333,WeightedEnsemble_L2,5,720
6,44.88033112742503,55.95291642456026,69.72222222222221,WeightedEnsemble_L2,6,720
7,48.763977890200096,59.16309101000408,75.41666666666667,WeightedEnsemble_L2,6,720
8,105.13820361709594,128.53864869379186,69.30555555555556,WeightedEnsemble_L2,5,720
9,55.75116418435838,66.24138260367504,80.41666666666667,WeightedEnsemble_L2,4,720
10,39.614005954424535,47.632135924145956,77.77777777777779,WeightedEnsemble_L2,4,720
11,30.67282432259454,37.86317912908247,87.77777777777777,WeightedEnsemble_L2,6,720
12,24.1433263080707,31.44203338197996,94.71488178025035,WeightedEnsemble_L2,3,719
